sector,keyword,last_hit_date,total_hit_count,avg_similarity_score
IT / 신기술,차세대 OLED 디스플레이,2026-07-30,12,0.6
IT / 신기술,핀테크 간편결제,,0,0.0
IT / 신기술,알뜰폰 활성화 정책,,0,0.0
IT / 신기술,초전도체 기술 실험 결과 기대감,2026-07-29,3,0.53
IT / 신기술,5G/6G 차세대 기가비트 통신 장비 수주,2026-07-29,2,0.33
IT / 신기술,자율주행 레벨 4/5 팹리스 및 전장 부품 수혜,2026-07-30,5,0.61
IT / 신기술,양자암호통신 상용화 및 양자 보안 관련주,2026-07-29,10,0.7
BIO / 의료AI,자가면역 치료제 기술이전,,0,0.0
BIO / 의료AI,항암 치료제 기술이전,2026-07-28,6,0.49
BIO / 의료AI,의료AI FDA 승인,,0,0.0
BIO / 의료AI,의료AI 솔루션 도입,2026-07-30,1,0.19
BIO / 의료AI,비만치료제 위고비 임상,2026-07-30,11,0.68
BIO / 의료AI,비만치료제 마운자로,2026-07-30,2,0.53
BIO / 의료AI,"알츠하이머, 차매 및 파킨슨 신약 치료제 개발",,0,0.0
BIO / 의료AI,바이오시밀러 포트폴리오,2026-07-30,3,0.55
BIO / 의료AI,미국 생물보안법 수혜,2026-07-30,1,0.24
BIO / 의료AI,AI 기반 단백질 설계 및 신약 후보물질 도출,2026-07-29,2,0.45
BIO / 의료AI,인체유래 지방 의약품 개발 활용 법안 통과,,0,0.0
BIO / 의료AI,변이 바이러스 방역 대책,,0,0.0
BIO / 의료AI,미국 생물보안법 통과에 따른 CMO/CDMO 물량 수주 수혜,,0,0.0
조선 / 해운,미국 MRO 함정 유지보수,,0,0.0
조선 / 해운,K조선 군함 건조 협력,2026-07-29,10,0.6
조선 / 해운,친환경 선박 수주,2026-07-30,9,0.6
조선 / 해운,LNG선 수주 슈퍼사이클,2026-07-30,21,0.64
조선 / 해운,국내 조선사 흑자전환,2026-07-30,10,0.61
조선 / 해운,조선 기자재 납품 확대,2026-07-29,12,0.65
조선 / 해운,미국 해군 지원함 해외 건조 허용,2026-07-30,1,0.32
조선 / 해운,한국 핵추진 잠수함 건조 협력,2026-07-29,1,0.3
조선 / 해운,잠수함 강재 공급 및 협력,,0,0.0
조선 / 해운,컨테이너 운임지수 상승,,0,0.0
조선 / 해운,트럼프 LNG 기자재 수혜,2026-07-29,2,0.48
조선 / 해운,LNG 피팅 밸브 수혜,2026-07-29,2,0.41
우주 / 항공,우주항공청 개청,,0,0.0
우주 / 항공,우주항공 스타트업 육성,2026-07-30,2,0.46
우주 / 항공,스페이스X 스타십 시험비행,2026-07-29,2,0.64
우주 / 항공,스타링크 국내 도입,,0,0.0
우주 / 항공,민간 우주선 달착륙,2026-07-30,1,0.34
우주 / 항공,위성 안테나 캐파 확장,2026-07-29,2,0.48
우주 / 항공,차세대 드론 사업,,0,0.0
우주 / 항공,스페이스X·테슬라 합병설,2026-07-29,4,0.67
우주 / 항공,UAM 시범 상용화,2026-07-29,10,0.64
우주 / 항공,UAM 프로젝트 파트너십,,0,0.0
코인 / STO,토큰증권 STO 법제화,2026-07-29,16,0.67
코인 / STO,STO 가이드라인 제도권,,0,0.0
코인 / STO,비트코인 현물 ETF,2026-07-30,18,0.67
코인 / STO,알트코인 현물 ETF,2026-07-30,8,0.63
코인 / STO,가상자산 과세유예,2026-07-29,4,0.6
코인 / STO,가상자산 법인투자 허용,,0,0.0
코인 / STO,리플 SEC 소송,,0,0.0
코인 / STO,스테이블코인 가이드라인,,0,0.0
코인 / STO,스테이블코인 시가총액 성장 전망,2026-07-30,6,0.66
IP / 엔터,K-팝 아티스트 글로벌 앨범 컴백 및 월드 투어,2026-07-28,14,0.64
IP / 엔터,글로벌 OTT K콘텐츠 투자,2026-07-29,4,0.57
IP / 엔터,대작 게임 신작 기대감,2026-07-29,9,0.72
IP / 엔터,팬 커뮤니티 플랫폼 글로벌 IP 유통,2026-07-28,2,0.45
IP / 엔터,웹3 게임 스토어,,0,0.0
IP / 엔터,블록체인 기술 통합,2026-07-29,2,0.48
IP / 엔터,토종 앱 마켓 리더십,,0,0.0
IP / 엔터,네이버웹툰 나스닥 상장,,0,0.0
IP / 엔터,웹툰 웹소설 IP 확장,,0,0.0
